r,g,b
0.9921568627450981,0.9921568627450981,0.9921568627450981
0.996078431372549,0.996078431372549,0.996078431372549
0.027450980392156862,0.027450980392156862,0.027450980392156862
0.03137254901960784,0.03137254901960784,0.03137254901960784
0.9882352941176471,0.9882352941176471,0.9882352941176471
0.8117647058823529,0.5647058823529412,0.00392156862745098
0.9647058823529412,0.8431372549019608,0.00392156862745098
0.5607843137254902,0.8117647058823529,0.9686274509803922
0.5647058823529412,0.8117647058823529,0.9686274509803922
0.8117647058823529,0.5647058823529412,0.0
0.9686274509803922,0.8431372549019608,0.00392156862745098
0.9686274509803922,0.6862745098039216,0.8431372549019608
0.18823529411764706,0.6235294117647059,0.9725490196078431
0.5647058823529412,0.8117647058823529,0.9725490196078431
0.9686274509803922,0.47058823529411764,0.7176470588235294
0.9686274509803922,0.6901960784313725,0.8470588235294118
0.19215686274509805,0.6274509803921569,0.9686274509803922
1.0,1.0,1.0
0.03529411764705882,0.03529411764705882,0.03529411764705882
0.8117647058823529,0.5647058823529412,0.00784313725490196
0.9686274509803922,0.8431372549019608,0.0
0.8117647058823529,0.5607843137254902,0.0
0.9725490196078431,0.8470588235294118,0.0
0.8156862745098039,0.5607843137254902,0.0
0.9686274509803922,0.8470588235294118,0.0
0.8156862745098039,0.5647058823529412,0.0
0.9725490196078431,0.8431372549019608,0.0
0.9686274509803922,0.8470588235294118,0.00392156862745098
0.8156862745098039,0.5647058823529412,0.00392156862745098
0.9647058823529412,0.8431372549019608,0.00784313725490196
0.023529411764705882,0.023529411764705882,0.023529411764705882
0.8117647058823529,0.5647058823529412,0.011764705882352941
0.9686274509803922,0.7843137254901961,0.34509803921568627
0.9686274509803922,0.7803921568627451,0.34509803921568627
0.0392156862745098,0.0392156862745098,0.0392156862745098
0.03137254901960784,0.03137254901960784,0.027450980392156862
0.9686274509803922,0.9372549019607843,0.7176470588235294
0.9686274509803922,0.9372549019607843,0.7215686274509804
0.9647058823529412,0.9372549019607843,0.7176470588235294
0.9647058823529412,0.7803921568627451,0.34509803921568627
0.9647058823529412,0.9333333333333333,0.7176470588235294
0.9647058823529412,0.8392156862745098,0.00392156862745098
0.9647058823529412,0.8392156862745098,0.00784313725490196
0.18823529411764706,0.6274509803921569,0.9686274509803922
0.9686274509803922,0.47058823529411764,0.7215686274509804
0.8156862745098039,0.5607843137254902,0.00392156862745098
0.9725490196078431,0.6901960784313725,0.8470588235294118
0.9725490196078431,0.4666666666666667,0.7215686274509804
0.9686274509803922,0.6901960784313725,0.8431372549019608
0.9686274509803922,0.6862745098039216,0.8470588235294118
0.5647058823529412,0.8156862745098039,0.9725490196078431
0.9725490196078431,0.8470588235294118,0.00392156862745098
0.9725490196078431,0.6901960784313725,0.8431372549019608
0.9686274509803922,0.4666666666666667,0.7176470588235294
0.9725490196078431,0.6862745098039216,0.8431372549019608
0.18823529411764706,0.6274509803921569,0.9725490196078431
0.9725490196078431,0.47058823529411764,0.7215686274509804
0.9725490196078431,0.4666666666666667,0.7176470588235294
0.807843137254902,0.5647058823529412,0.011764705882352941
0.9686274509803922,0.09411764705882353,0.47058823529411764
0.9686274509803922,0.09803921568627451,0.47058823529411764
0.9764705882352941,0.32941176470588235,0.4235294117647059
0.7490196078431373,0.7490196078431373,0.7803921568627451
0.9725490196078431,0.7843137254901961,0.34509803921568627
0.7529411764705882,0.7529411764705882,0.7843137254901961
0.9686274509803922,0.9686274509803922,0.9686274509803922
0.7490196078431373,0.7490196078431373,0.7843137254901961
0.9647058823529412,0.9647058823529412,0.9647058823529412
0.9686274509803922,0.4666666666666667,0.7215686274509804
0.9725490196078431,0.9725490196078431,0.9725490196078431
0.9764705882352941,0.30980392156862746,0.5137254901960784
0.9686274509803922,0.09019607843137255,0.47058823529411764
0.9647058823529412,0.09803921568627451,0.47058823529411764
0.9803921568627451,0.30980392156862746,0.5137254901960784
0.984313725490196,0.30980392156862746,0.5137254901960784
0.9764705882352941,0.3137254901960784,0.5137254901960784
0.9803921568627451,0.3137254901960784,0.5137254901960784
0.9725490196078431,0.09019607843137255,0.4666666666666667
0.9803921568627451,0.3058823529411765,0.5098039215686274
0.9803921568627451,0.30980392156862746,0.5098039215686274
0.9686274509803922,0.09019607843137255,0.4666666666666667
0.9686274509803922,0.09411764705882353,0.4666666666666667
0.9647058823529412,0.09411764705882353,0.47058823529411764
0.984313725490196,0.30980392156862746,0.5098039215686274
0.984313725490196,0.3058823529411765,0.5137254901960784
0.9803921568627451,0.3058823529411765,0.5137254901960784
0.9725490196078431,0.09411764705882353,0.47058823529411764
0.9647058823529412,0.10196078431372549,0.47058823529411764
